date,method,comparison,cash_cost_yuan,contract_cost_yuan,emergency_cost_yuan,contract_kwh,base_contract_kwh,risk_reserve_kwh,expected_emergency_cost_yuan,emergency_kwh,emergency_slots,emergency_events,unused_contract_kwh,pv_curtailed_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,runtime_seconds,max_balance_residual_kwh,simultaneous_flow_slots,sigma_factor,achieved_daily_sigma_ratio
2025-02-01,greedy,error_scaled_frozen_contract_and_soc,26709.12435609976,26709.12435609976,0.0,49023.022603149024,43233.888007593465,5789.134595555555,6312.826350179821,0.0,0,0,7094.942984184794,4222.3180999999995,17513.608345425804,14186.022759794905,10800.0,10800.0,2360.6261485890623,10800.0,0.00033740000799298286,1.1368683772161603e-13,0,1.0,1.0
2025-02-01,mpc,error_scaled_frozen_contract_and_soc,27899.518325049758,26709.12435609976,1190.3939689500016,49023.022603149024,43233.888007593465,5789.134595555555,6312.826350179821,202.84544523809564,10,6,7288.811021362491,3985.5609216406306,18806.950831845574,15233.630659794904,10800.0,10799.999460000012,1951.9991785833988,10800.0,0.9981420999974944,1.1368683772161603e-13,0,1.0,1.0
2025-02-02,greedy,error_scaled_frozen_contract_and_soc,60814.31655276092,60814.31655276092,0.0,95447.25993643588,89758.78041945177,5688.479516984126,6331.734526354028,0.0,0,0,13075.515183302958,143.1024833333331,20380.86484105052,16508.50052125092,10800.0,10800.0,1890.3158152557307,10800.0,0.0003665999975055456,1.1368683772161603e-13,0,1.0,1.0
2025-02-02,mpc,error_scaled_frozen_contract_and_soc,61176.0911011014,60814.31655276092,361.7745483404754,95447.25993643588,89758.78041945177,5688.479516984126,6331.734526354028,81.2304190476189,4,3,12198.041882374071,663.7723928571436,22686.30901816988,18375.910887917587,10800.0,10799.999352000017,1507.3586305714334,10800.0,1.0466137000039453,1.1368683772161603e-13,0,1.0,1.0
2025-02-03,greedy,error_scaled_frozen_contract_and_soc,59761.37374098951,59761.37374098951,0.0,94059.09257643559,88351.30972611814,5707.78285031746,6325.6355685206945,0.0,0,0,9863.660882803251,0.0,20939.5536506966,16961.03845706425,10800.0,10800.0,1813.4774210758408,10800.0,0.0004130999877816066,1.1368683772161603e-13,0,1.0,1.0
2025-02-03,mpc,error_scaled_frozen_contract_and_soc,60415.31347814428,59761.37374098951,653.9397371547657,94059.09257643559,88351.30972611814,5707.78285031746,6325.6355685206945,130.0200666666674,10,6,9140.442897277066,529.3509500000007,22644.225679079926,18341.823383254727,10800.0,10799.999352000017,1444.5024770340697,10800.0,1.0554768000001786,2.2737367544323206e-13,0,1.0,1.0
2025-02-04,greedy,error_scaled_frozen_contract_and_soc,60256.86003817031,60256.86003817031,0.0,94763.34714999805,89031.03173301392,5732.3154169841255,6307.104330743882,0.0,0,0,9431.442463814416,0.35178333333351475,21772.04712026476,17635.35816741446,10800.0,10800.0,2044.759881393298,10800.0,0.00032530000316910446,1.1368683772161603e-13,0,1.0,1.0
2025-02-04,mpc,error_scaled_frozen_contract_and_soc,61938.42527047865,60256.86003817031,1681.5652323083393,94763.34714999805,89031.03173301392,5732.3154169841255,6307.104330743882,336.4601833333345,18,8,9697.791847838174,82.89184999999998,22230.90785528862,18106.648169795408,10800.0,10689.319103320418,1310.8761691143068,10800.0,1.0229736999899615,1.1368683772161603e-13,0,1.0,1.0
2025-02-05,greedy,error_scaled_frozen_contract_and_soc,58582.167117194185,58582.167117194185,0.0,92567.5088404276,87805.56615709428,4761.942683333333,4566.75086750565,0.0,0,0,7568.893662757197,2.0524999999997817,22358.608917563593,18110.473223226505,10800.0,10800.0,1657.9330782804213,10800.0,0.00038729999505449086,1.1368683772161603e-13,0,1.0,1.0
2025-02-05,mpc,error_scaled_frozen_contract_and_soc,60911.931229671565,58582.167117194185,2329.7641124773813,92567.5088404276,87805.56615709428,4761.942683333333,4566.75086750565,447.9630928571429,25,11,7802.271570305633,173.36246666666688,22613.323431443725,18321.912518464604,10800.0,10794.310512227567,1541.3565484285743,10800.0,1.0580681999999797,2.2737367544323206e-13,0,1.0,1.0
2025-02-06,greedy,error_scaled_frozen_contract_and_soc,58974.03607680656,58974.03607680656,0.0,92802.98276806748,88839.82339822622,3963.1593698412707,3251.412147611388,0.0,0,0,8424.991930893595,1.400816666666742,21608.06738863454,17502.534584793975,10800.0,10800.0,1876.9137222222241,10800.0,0.0004014000005554408,1.1368683772161603e-13,0,1.0,1.0
2025-02-06,mpc,error_scaled_frozen_contract_and_soc,59904.15599730656,58974.03607680656,930.119920500001,92802.98276806748,88839.82339822622,3963.1593698412707,3251.412147611388,187.60236428571443,12,7,7679.707087666058,669.2052880952396,23003.242753290644,18632.627213365406,10800.0,10799.999352000017,1611.5820484285725,10800.0,1.0619879000005312,2.2737367544323206e-13,0,1.0,1.0
2025-02-07,greedy,error_scaled_frozen_contract_and_soc,24137.83848105902,24137.83848105902,0.0,45454.33012959417,42149.74573197513,3304.5843976190476,1942.5968872038493,0.0,0,0,4980.629476214275,5080.81869265698,18880.012073980295,15292.809779924039,10800.0,10800.0,1606.5266402116401,10800.0,0.00037480000173673034,1.1368683772161603e-13,0,1.0,1.0
2025-02-07,mpc,error_scaled_frozen_contract_and_soc,26177.976926730447,24137.83848105902,2040.1384456714277,45454.33012959417,42149.74573197513,3304.5843976190476,1942.5968872038493,345.42930476190463,16,6,5852.113288359767,4439.425241634341,19487.062215238395,15784.520977543089,10800.0,10799.999352000017,1684.8234831198245,10800.0,1.0779743000020972,1.1368683772161603e-13,0,1.0,1.0
2025-02-08,greedy,error_scaled_frozen_contract_and_soc,22024.09795129196,22024.09795129196,0.0,41292.83964174117,38070.79812507451,3222.041516666666,1927.9955428724606,0.0,0,0,2612.111978751602,3366.9516999999996,19666.38550696268,15929.772260639775,10800.0,10800.0,1624.5250158730155,10800.0,0.0005365999968489632,1.1368683772161603e-13,0,1.0,1.0
