方法,天数,总费用_元,平均每日费用_元,合同费用_元,应急费用_元,应急购电量_kWh,应急购电槽数,应急购电事件数,合同浪费量_kWh,弃光量_kWh,SOC最小值_kWh,SOC最大值_kWh,期末SOC_kWh,执行计算时间_秒,最大平衡残差_kWh,同时充放电槽数,sigma_factor,实际残差标准差倍率
MPC,334,16420412.624845978,49162.91205043706,14142085.215601586,2278327.409244394,452547.459990618,10258.0,3639.0,2267443.4636334535,1751893.7673081025,1200.0,10800.0,10715.889214529985,362.29631400018116,4.547473508864641e-13,0.0,1.0,1.0
LP+反馈贪心,334,14636893.759905677,43823.03520929843,14142085.215601586,494808.544304093,80648.33699267215,456.0,136.0,2037924.8140102476,1557153.09207191,1200.0,10800.0,10800.0,0.16215799993369728,2.2737367544323206e-13,0.0,1.0,1.0
MPC费用-LP+反馈贪心费用,334,1783518.8649403006,5339.876841138626,,,,,,,,,,,,,,1.0,1.0
