方案,口径A现金总费_元,计划费用A_元,调整费用_元,紧急费用_元,口径B现金总费_元,口径B相对A_元,计划购电量_kWh,最终合同量_kWh,调整量_kWh,应急购电量_kWh,弃购量_kWh,弃光量_kWh,充电量_kWh,放电量_kWh,期末SOC_kWh,SOC一步MAE_kWh,SOC一步RMSE_kWh,SOC一步最大绝对误差_kWh,充电一步MAE_kWh,放电一步MAE_kWh,费用加总误差_元
Q2-F1-W35-alpha0.805-H49,14786101.35345749,13665855.740648407,0.0,1120245.6128090823,14786101.35345749,0.0,22382650.654999357,22382650.654999357,0.0,245483.29306317575,1596110.9422015036,1741589.3432738623,7112133.945271054,5760889.777650556,10731.908909999998,5.32747094090384,19.665537988630362,284.5826746031753,2.2611893715964353,2.9631604558203426,0.0
"Q3-S={6,12,18}",14664345.399456076,12892887.150351765,859812.7911077078,911645.4579966022,14991205.573840365,326860.1743842872,21702724.366604894,21702916.77270221,192.40609731302902,210761.47517681267,1228166.9039037656,1460023.5957107884,6769990.806830542,5483692.553532739,10800.0,5.061882227023406,17.62707690128947,271.9788518518526,2.2302067676992223,2.749226522484695,0.0
Q4-2-median30,17378687.69176505,13948594.66055932,0.0,3430093.031205731,17378687.69176505,0.0,21714014.403302412,21714014.403302412,0.0,570732.6617703987,1520739.2390211,1519070.0089724292,6872318.172127222,5566569.850014608,10800.0,4.79583923688331,17.303045334009965,271.9788518518526,2.0072929506480692,2.690348023170043,0.0
Q4-3-median30,15465962.604129817,13606722.503734056,894288.7134629381,964951.3869328207,15807140.275293775,341177.6711639591,21712276.07168716,21711144.64020411,-1131.431483051707,210394.02232513065,1233536.1343529928,1452510.1145757688,6822646.940177951,5526344.021544142,10800.0,5.156975405922769,18.06754074389078,271.9788518518526,2.2202989599091385,2.842835707804089,0.0
