终端价值倍率,现金费用_元,合同购电量_kWh,应急购电量_kWh,充电量_kWh,放电量_kWh,弃购量_kWh,期末SOC_kWh,SOC下限触及比例,SOC上限触及比例,数值门禁,相对倍率1费用变化_元,相对倍率1费用变化_pct
0.0,21869985.06147635,22231606.277509615,1494646.5817581099,4892842.984116627,3963207.171251413,2801690.113486523,1294.7810740740742,0.1286910197869102,0.0,True,7083883.708018858,47.9090704079504
0.5,14750539.877747448,22151481.39735274,257564.2850868242,6618263.489394816,5361107.952269627,1508647.9259073255,1533.2896296296294,0.04908675799086758,0.08691019786910198,True,-35561.475710043684,-0.24050610001891126
1.0,14786101.353457492,22382650.654999357,245483.29306317575,7112133.945271054,5760889.777650556,1596110.9422015036,10731.908909999998,0.01417427701674277,0.15810502283105024,True,0.0,0.0
1.5,14786101.353457492,22382650.654999357,245483.29306317575,7112133.945271054,5760889.777650556,1596110.9422015036,10731.908909999998,0.01417427701674277,0.15810502283105024,True,0.0,0.0
