方案,cash_total,contract_kwh,charge_kwh,discharge_kwh,unused_contract_kwh,emergency_kwh,emergency_slots,S_min,S_max,S_end
主配置,14786101.353457492,22382650.65499936,7112133.945271054,5760889.777650556,1596110.9422015036,245483.2930631757,6822,1200.0,10800.0,10731.908909999998
理想信息参照,12291024.76890037,20305706.899887454,7243943.761098146,5867594.4464895,3.3424113615189953e-10,1.9564184736771572e-10,0,1200.0,10800.0,10800.0
无储能,16407319.631981423,20997349.411166664,0.0,0.0,0.0,0.0,0,6000.0,6000.0,6000.0
