variant,date,decision_hour,risk_mode,horizon_slots,simultaneous_flow_slots,simultaneous_flow_max_kwh,max_eq_residual_kwh,solver_status
q2_fixed_clustered,2025-04-08,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-04-09,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-04-10,0,clustered,144,0,0.0,1.1368683772161603e-13,optimal
q2_fixed_clustered,2025-04-11,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-04-12,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-04-13,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-04-14,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-04-15,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-04-16,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-04-17,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-04-18,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-04-19,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-04-20,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-04-21,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-04-22,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-04-23,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-04-24,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-04-25,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-04-26,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-04-27,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-04-28,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-04-29,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-04-30,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-05-01,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-05-02,0,clustered,144,0,0.0,1.1368683772161603e-13,optimal
q2_fixed_clustered,2025-05-03,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-05-04,0,clustered,144,0,0.0,1.1368683772161603e-13,optimal
q2_fixed_clustered,2025-05-05,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-05-06,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-05-07,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-05-08,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-05-09,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-05-10,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-05-11,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-05-12,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-05-13,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-05-14,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-05-15,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-05-16,0,clustered,144,0,0.0,1.1368683772161603e-13,optimal
q2_fixed_clustered,2025-05-17,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-05-18,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-05-19,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-05-20,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-05-21,0,clustered,144,0,0.0,1.1368683772161603e-13,optimal
q2_fixed_clustered,2025-05-22,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-05-23,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-05-24,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-05-25,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-05-26,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-05-27,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-05-28,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-05-29,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-05-30,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
