release_set,allowed_issue_hours,month,days,cash_cost_yuan,contract_cost_yuan,emergency_cost_yuan,plan_kwh,final_contract_kwh,actual_effective_grid_kwh,emergency_kwh,emergency_days,emergency_slots,unused_contract_kwh,pv_curtailed_kwh,charge_kwh,discharge_kwh,safe_net_coverage,pinball_mean_kw,soc_end_kwh,max_balance_residual_kwh,saving_vs_S_none_yuan,emergency_reduction_vs_S_none_kwh
S_12_18,"12,18",3,31,1336406.8954855627,1332763.8554034499,3643.0400821126013,2222544.6778661693,2115453.9153544907,1819417.1921435073,690.0593357141602,8,30,296726.7825466977,190089.80786286786,542156.4095472272,439146.69173325406,0.8098118279569892,163.5364904060132,10800.0,3.410605131648481e-13,45715.96575850319,4412.966734571917
S_12_18,"12,18",4,30,1066952.7298866692,1043808.3886096006,23144.34127706848,1706976.5534758852,1700542.8846405651,1534446.0361167558,4044.4174505790315,20,59,170141.26597438846,214836.18420709326,536368.9533760523,434488.70046638965,0.6631944444444444,156.46607133619918,10766.83529801414,3.410605131648481e-13,52346.61411319794,4430.988497080229
S_12_18,"12,18",5,31,1191011.5012915314,1068014.8574973508,122996.6437941808,1739504.264769593,1724838.0304514659,1546980.9524659608,19723.14892538593,20,159,197580.22691089087,262828.9288592082,512166.8968857835,414825.33824569744,0.6124551971326165,198.02019350618164,10800.0,3.410605131648481e-13,23216.70827657016,889.3637988886128
S_12_18,"12,18",6,30,1526378.0286791264,1432057.5884265492,94320.44025257711,2280447.148274187,2206914.7867947384,1976572.0705755102,15387.774572244289,21,198,245730.49079147237,123701.77239310081,541458.5894688223,438581.4574697462,0.6194444444444445,200.577299623995,10800.0,3.410605131648481e-13,49473.75838547736,4320.361410432907
S_12_18,"12,18",7,31,1683537.1691652813,1595313.034148914,88224.13501636726,2423817.8857193566,2406518.7412149915,2192930.4005022333,14967.342100930764,19,188,228555.68281368946,143428.82005001407,550959.5838713283,446277.262935776,0.6176075268817204,203.86380181578986,10800.0,3.410605131648481e-13,25233.047069167187,3347.2527763591133
S_12_18,"12,18",8,31,1603477.2522922175,1603460.0012061615,17.25108605598239,2550493.2701735096,2421016.2136193803,1965066.2886347775,2.5608381289961244,1,1,455952.4858227315,292528.87337561016,465392.3736447407,376967.82265223993,0.9540770609318996,211.04509460565328,10800.0,3.552713678800501e-13,13460.880108435216,0.0
S_12_18,"12,18",9,30,1512286.788861963,1508036.772904709,4250.015957254026,2375182.337609546,2298840.5052227625,1715040.024570657,850.0984160411671,3,8,584650.5790681469,239718.52304582426,457566.49618333083,370628.8619084981,0.9712962962962963,240.8094450155001,10800.0,3.410605131648481e-13,8519.97955172605,0.0
S_12_18,"12,18",10,31,1383885.4927352252,1356878.1941629148,27007.298572311014,2179650.8854743913,2112620.0402974933,1791075.7455225666,4958.920411541167,14,71,326503.215186468,213753.79232787035,537833.485059807,435645.1228984438,0.7401433691756273,183.3785930138242,10800.0,2.5224267119483557e-13,23143.665302951384,1008.47910662473
S_12_18,"12,18",11,30,1552759.8061595988,1438793.9495684905,113965.85659110824,2268947.800164228,2244426.0822684173,2011936.5974032057,19212.54607530439,21,213,251702.030940516,115864.59400219154,570755.163795858,462655.5683781772,0.4898148148148148,185.95356580675923,10417.90477385309,3.410605131648481e-13,21605.882991897153,1250.0210106198256
S_12_18,"12,18",12,31,1959616.1517120984,1824078.947701831,135537.20401026728,2798398.803128668,2778388.943940235,2523038.1948986105,24843.64256667945,23,233,280194.39160830487,34384.40966519178,654798.7216353818,530181.8726352967,0.49731182795698925,184.62084310513978,10645.784650922635,3.410605131648481e-13,16531.64027933232,1528.9777564240985
S_6_12_18,"6,12,18",2,28,1469453.7466440503,1468048.6331666051,1405.113477445388,2428357.6550196474,2265210.0665133363,1916032.7901505218,238.99056678965752,8,12,349416.26692960336,106383.07755109564,504052.844909262,408282.8043765023,0.9032738095238095,157.4305092254691,10800.0,2.2737367544323206e-13,39322.8752820188,3028.8164721937283
S_6_12_18,"6,12,18",3,31,1327495.0486588185,1325270.4926715468,2224.5559872719714,2222544.6778661693,2080855.3083352852,1810235.2374817382,409.4513506281326,6,24,271029.5222041743,179180.73231410456,551246.5194787759,446509.6807778084,0.821236559139785,149.8091541622217,10800.0,2.2737367544323206e-13,54627.81258524689,4693.574719657944
S_6_12_18,"6,12,18",4,30,1054795.4170035115,1042479.085078223,12316.3319252883,1706976.5534758852,1688549.5756171802,1528167.6275465812,2039.1699431162901,19,49,162421.11801371526,207389.68727351504,542516.78686765,439468.4455945838,0.6574074074074074,143.90935035937204,10766.83529801414,2.2737367544323206e-13,64503.926996355876,6436.236004542971
S_6_12_18,"6,12,18",5,31,1175985.3918952586,1068222.9329610735,107762.45893418505,1739504.264769593,1718222.617831842,1544609.2568851109,16924.426255032868,20,145,190537.78720176395,260312.34744543495,512929.45390116866,415443.00942815945,0.6120071684587813,183.13465402037633,10800.0,2.2737367544323206e-13,38242.81767284305,3688.0864692416762
S_6_12_18,"6,12,18",6,30,1510567.5316102768,1421167.135826606,89400.39578367046,2280447.1482742354,2178817.6444965014,1975066.5195569051,14364.691004337219,21,195,218115.81594393362,119166.28846286706,557405.6047931834,451498.5398824785,0.5900462962962963,188.09533937027538,10800.0,2.2737367544323206e-13,65284.25545432709,5343.444978339978
S_6_12_18,"6,12,18",7,31,1683752.9638908515,1592470.5525326384,91282.4113582126,2423817.885720456,2398107.3182075773,2191006.5004167533,15652.868204408218,18,197,222753.68599523208,140750.15647395529,554932.0232954301,449494.9388692985,0.5882616487455197,204.23611344524463,10800.0,2.8421709430404007e-13,25017.25234359761,2661.7266728816594
