variant,candidate,saving_yuan,saving_percent,extra_events,breakeven_yuan_per_extra_event,all_four_days_nonworse,recommended_extra_updates,alternative_saving_yuan
q3,0h,-1124469.9533078186,-6.931567069870075,-1002,,False,False,-321227.28511280194
q3,12h,-614807.0645335577,-3.7898535130335382,-668,,False,False,-409913.73464106023
q3,6h,0.0,0.0,0,,True,False,0.0
q3,2h,628384.7338087223,3.873550302757856,2672,235.17392732362364,False,False,9074.012680184096
q43,0h,-1149149.9908402767,-6.893316550820193,-1002,,False,False,-388180.0260927379
q43,12h,-643274.2911801804,-3.858759390379527,-668,,False,False,-449147.4459004663
q43,6h,0.0,0.0,0,,True,False,0.0
q43,2h,625985.2484767437,3.755048956436703,2672,234.27591634608672,False,False,25502.81323088333
