槽序号,原始列标签,自然区间,是否首槽,是否末槽,审计项,结果,判定,方案,价格整体平移槽数,重放费用_元,相对原映射_元
95.0,15:50:00,15:40-15:50,False,False,,,,,,,
96.0,16:00:00,15:50-16:00,False,False,,,,,,,
97.0,16:10:00,16:00-16:10,False,False,,,,,,,
98.0,16:20:00,16:10-16:20,False,False,,,,,,,
99.0,16:30:00,16:20-16:30,False,False,,,,,,,
100.0,16:40:00,16:30-16:40,False,False,,,,,,,
101.0,16:50:00,16:40-16:50,False,False,,,,,,,
102.0,17:00:00,16:50-17:00,False,False,,,,,,,
103.0,17:10:00,17:00-17:10,False,False,,,,,,,
104.0,17:20:00,17:10-17:20,False,False,,,,,,,
105.0,17:30:00,17:20-17:30,False,False,,,,,,,
106.0,17:40:00,17:30-17:40,False,False,,,,,,,
107.0,17:50:00,17:40-17:50,False,False,,,,,,,
108.0,18:00:00,17:50-18:00,False,False,,,,,,,
109.0,18:10:00,18:00-18:10,False,False,,,,,,,
110.0,18:20:00,18:10-18:20,False,False,,,,,,,
111.0,18:30:00,18:20-18:30,False,False,,,,,,,
112.0,18:40:00,18:30-18:40,False,False,,,,,,,
113.0,18:50:00,18:40-18:50,False,False,,,,,,,
114.0,19:00:00,18:50-19:00,False,False,,,,,,,
115.0,19:10:00,19:00-19:10,False,False,,,,,,,
116.0,19:20:00,19:10-19:20,False,False,,,,,,,
117.0,19:30:00,19:20-19:30,False,False,,,,,,,
118.0,19:40:00,19:30-19:40,False,False,,,,,,,
119.0,19:50:00,19:40-19:50,False,False,,,,,,,
120.0,20:00:00,19:50-20:00,False,False,,,,,,,
121.0,20:10:00,20:00-20:10,False,False,,,,,,,
122.0,20:20:00,20:10-20:20,False,False,,,,,,,
123.0,20:30:00,20:20-20:30,False,False,,,,,,,
124.0,20:40:00,20:30-20:40,False,False,,,,,,,
125.0,20:50:00,20:40-20:50,False,False,,,,,,,
126.0,21:00:00,20:50-21:00,False,False,,,,,,,
127.0,21:10:00,21:00-21:10,False,False,,,,,,,
128.0,21:20:00,21:10-21:20,False,False,,,,,,,
129.0,21:30:00,21:20-21:30,False,False,,,,,,,
130.0,21:40:00,21:30-21:40,False,False,,,,,,,
131.0,21:50:00,21:40-21:50,False,False,,,,,,,
132.0,22:00:00,21:50-22:00,False,False,,,,,,,
133.0,22:10:00,22:00-22:10,False,False,,,,,,,
134.0,22:20:00,22:10-22:20,False,False,,,,,,,
135.0,22:30:00,22:20-22:30,False,False,,,,,,,
136.0,22:40:00,22:30-22:40,False,False,,,,,,,
137.0,22:50:00,22:40-22:50,False,False,,,,,,,
138.0,23:00:00,22:50-23:00,False,False,,,,,,,
139.0,23:10:00,23:00-23:10,False,False,,,,,,,
140.0,23:20:00,23:10-23:20,False,False,,,,,,,
141.0,23:30:00,23:20-23:30,False,False,,,,,,,
142.0,23:40:00,23:30-23:40,False,False,,,,,,,
143.0,23:50:00,23:40-23:50,False,False,,,,,,,
144.0,0:00+1,23:50-0:00+1,False,True,,,,,,,
,,,,,附件2首列,00:10:00,第1槽按0:00-0:10解释,,,,
,,,,,附件2末列,0:00+1,第144槽按23:50-24:00解释,,,,
,,,,,官方发布槽,"0,36,72,108",对应0/6/12/18时刻,,,,
,,,,,重点槽,"60,72,84,96,108,120",对应10:00至20:00起始槽,,,,
,,,,,跨午夜应急合并,不跨午夜,连续区间按自然日截断,,,,
,,,,,,,,Q2,-1.0,14885170.683578065,99069.33012057468
,,,,,,,,Q2,0.0,14786101.35345749,0.0
,,,,,,,,Q2,1.0,15046409.21440152,260307.8609440308
,,,,,,,,Q3,-1.0,14745749.767634919,81404.36817884259
,,,,,,,,Q3,0.0,14664345.399456076,0.0
,,,,,,,,Q3,1.0,14920001.798362412,255656.39890633523
