获准集合S,tag,允许发布时刻,现金总费_元,计划购电量_kWh,最终合同量_kWh,调整事件数,dn_相对空集,应急购电量_kWh,应急槽数,弃购量_kWh,期末储电量_kWh,相对空集节约_元,kappa_star_元每次,版本6时点_平均边际收益_元,版本12时点_平均边际收益_元,版本18时点_平均边际收益_元
"{6,12,18}",main,"0,6,12,18",14968496.84326568,22886635.15205593,22881901.555786304,1002,1002,87488.7580637784,3331,2058092.3600531733,10800.0,618746.7349360697,617.5117115130436,158002.3479206534,286906.52299486287,141057.40852656867
{},abl_none,0,15587243.578201748,23937009.857311644,23937009.857311644,0,0,142668.74786883942,2964,2791107.695368104,10800.0,0.0,,158002.3479206534,286906.52299486287,141057.40852656867
{6},abl_1,"0,6",15324029.746438865,23212522.088690016,23176400.39634803,334,334,113901.88966935752,3210,2358779.4959013257,10800.0,263213.8317628857,788.0653645595379,158002.3479206534,286906.52299486287,141057.40852656867
{12},abl_2,"0,12",15178645.359031428,23247894.99532724,23296983.356966645,334,334,86403.22089438923,2948,2327679.4016949856,10800.0,408598.2191703208,1223.3479615877868,158002.3479206534,286906.52299486287,141057.40852656867
{18},abl_3,"0,18",15281353.413587226,23922276.24167073,23983190.824554868,334,334,95155.807646974,3046,2661927.3482061382,10792.234779073642,305890.16461452283,915.8388162111462,158002.3479206534,286906.52299486287,141057.40852656867
"{6,12}",abl_1_2,"0,6,12",15010282.406692265,22897627.64048758,22883641.41665446,668,668,92337.00850578332,3299,2076124.463307304,10800.0,576961.1715094857,863.7143286070145,158002.3479206534,286906.52299486287,141057.40852656867
"{6,18}",abl_1_3,"0,6,18",15199272.581073051,23189712.85165236,23184730.51000738,668,668,96972.22305411096,3309,2308496.461000985,10800.0,387970.9971286953,580.7949058812803,158002.3479206534,286906.52299486287,141057.40852656867
"{12,18}",abl_2_3,"0,12,18",15086848.61833207,23231935.89130968,23281575.361139223,668,668,81150.49726952834,3096,2235196.2940855613,10788.97682005759,500394.9598696791,749.0942513019147,158002.3479206534,286906.52299486287,141057.40852656867
