发布时刻_h,提前期_h,MAE_kW,RMSE_kW,Bias_kW,q90_kW,尺度_s_kW
0,1,0.0,0.0,0.0,0.0,0.0
0,2,0.0,0.0,0.0,0.0,0.0
0,3,0.0,0.0,0.0,0.0,0.0
0,4,0.0,0.0,0.0,0.0,0.0
0,5,0.01654775449101797,0.06844665396269776,-1.5319361277452063e-05,0.0,0.06844665396269776
0,6,18.16359774451098,33.87774416855395,-0.09674526946108096,33.87732999999997,33.87774416855395
0,7,81.64771173652697,116.81996124799329,0.0119857285429173,151.76855333333333,116.81996124799329
0,8,200.656044491018,261.6004486982339,-0.05087367265471034,339.2552333333333,261.6004486982339
0,9,341.97707963073856,422.2048677234071,-4.353230508982047,532.7323666666662,422.2048677234071
0,10,434.93194024950094,547.9439111403032,-0.8643038622753948,705.2008699999997,547.9439111403032
0,11,552.5470754291416,688.2766340853987,-9.330966467065878,841.1999766666668,688.2766340853987
0,12,609.9422808083832,758.4717884155774,-7.861480668662701,1037.783043333333,758.4717884155774
0,13,647.5963690818363,807.240062258276,-2.838939720558908,1045.86762,807.240062258276
0,14,598.1815456586826,758.4011574118128,7.827136796407183,954.0893900000001,758.4011574118128
0,15,510.7382069061876,644.091355208948,2.510217285429144,869.8605533333339,644.091355208948
0,16,347.7224905888224,443.6804107518453,5.591760109780425,635.5704166666665,443.6804107518453
0,17,173.1105533732535,248.21856432619197,0.5010141117764491,312.01236000000017,248.21856432619197
0,18,50.423918962075845,92.73630633703299,-0.0002544311377246621,97.23560666666674,92.73630633703299
0,19,0.04944305389221556,0.1852077231157758,-8.347305389221462e-05,0.0,0.1852077231157758
0,20,0.0,0.0,0.0,0.0,0.0
0,21,0.0,0.0,0.0,0.0,0.0
0,22,0.0,0.0,0.0,0.0,0.0
0,23,0.0,0.0,0.0,0.0,0.0
0,24,0.0,0.0,0.0,0.0,0.0
6,1,13.392148323353277,19.96358979597554,-0.05197898203592588,21.196976666666615,19.96358979597554
6,2,51.735535528942115,68.14583270785944,-1.3003318762475051,89.07282666666697,68.14583270785944
6,3,102.55904753493017,128.10484929795373,-2.2471539421157796,145.9448733333329,128.10484929795373
6,4,181.23680351297406,225.34577407949337,-3.5858130738523006,290.7539533333338,225.34577407949337
6,5,268.70211501996,332.60662587187693,-6.143021806387217,454.7778966666665,332.60662587187693
6,6,335.3453905389221,429.8402292168853,-9.262553093812372,586.7063200000002,429.8402292168853
6,7,376.6783148502994,478.8932657488194,-2.1277958483034007,644.5249066666656,478.8932657488194
6,8,375.02079911177645,471.21282279284765,-5.32481128742513,631.6923433333332,471.21282279284765
6,9,316.6625919760479,400.94789425740225,-2.708018103792408,508.66453333333266,400.94789425740225
6,10,212.6855104890219,277.0051685964528,-1.6618816666666658,354.18057,277.0051685964528
6,11,109.16566666666665,158.64852973085448,-0.1809860479041839,182.23487999999998,158.64852973085448
6,12,31.409329141716565,57.71352659507535,-0.0949356886227557,60.091446666666684,57.71352659507535
6,13,0.01861411177644711,0.10710756928746605,-0.0004111177644710569,0.0,0.10710756928746605
6,14,0.0,0.0,0.0,0.0,0.0
6,15,0.0,0.0,0.0,0.0,0.0
6,16,0.0,0.0,0.0,0.0,0.0
6,17,0.0,0.0,0.0,0.0,0.0
6,18,0.0,0.0,0.0,0.0,0.0
12,1,64.72148498003993,81.63132308287423,1.2313709481038355,105.76254999999946,81.63132308287423
12,2,94.36503759481036,123.62166222120533,0.005011167664661061,157.55426999999963,123.62166222120533
12,3,107.64545923153688,137.02388462404363,0.046483842315407864,174.99738333333335,137.02388462404363
12,4,95.56666058882237,123.38615309860579,0.19645402195608774,133.65059333333284,123.38615309860579
12,5,55.50645098802396,81.97777379529522,-0.12183006986027174,99.67644333333328,81.97777379529522
12,6,17.80136769461078,33.08774405967744,-0.03766466067864405,31.054646666666713,33.08774405967744
12,7,0.01856710578842315,0.07844558521328289,3.324021031811846e-18,0.0,0.07844558521328289
12,8,0.0,0.0,0.0,0.0,0.0
12,9,0.0,0.0,0.0,0.0,0.0
12,10,0.0,0.0,0.0,0.0,0.0
12,11,0.0,0.0,0.0,0.0,0.0
12,12,0.0,0.0,0.0,0.0,0.0
18,1,0.0029490718562874196,0.012947718794805291,-1.422155688622656e-05,0.0,0.012947718794805291
18,2,0.0,0.0,0.0,0.0,0.0
18,3,0.0,0.0,0.0,0.0,0.0
18,4,0.0,0.0,0.0,0.0,0.0
18,5,0.0,0.0,0.0,0.0,0.0
18,6,0.0,0.0,0.0,0.0,0.0
