date,method,comparison,cash_cost_yuan,contract_cost_yuan,emergency_cost_yuan,contract_kwh,base_contract_kwh,risk_reserve_kwh,expected_emergency_cost_yuan,emergency_kwh,emergency_slots,emergency_events,unused_contract_kwh,pv_curtailed_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,runtime_seconds,max_balance_residual_kwh,simultaneous_flow_slots,sigma_factor,achieved_daily_sigma_ratio
2025-08-19,mpc,error_scaled_frozen_contract_and_soc,57512.11564392613,49204.25756202195,8307.858081904185,75604.08062057942,69116.6483467699,6487.432273809525,3011.550582196387,1776.367980922986,27,11,5726.356186648975,4506.746694645522,17733.09079305774,14378.879513326012,10800.0,10783.24892116751,1200.0,10800.0,0.9150326999952084,2.273736754432321e-13,0,1.5,1.5
2025-08-20,greedy,error_scaled_frozen_contract_and_soc,73553.39154147498,48876.52866869521,24676.86287277976,75159.05805018978,68689.91450733264,6469.143542857144,3001.899159635077,3948.492373619043,14,3,1986.521650455614,0.0,19097.70786100693,15469.14336741561,10800.0,10800.0,1200.0,10800.0,0.0002868000010494,2.273736754432321e-13,0,1.5,1.5
2025-08-20,mpc,error_scaled_frozen_contract_and_soc,86766.92471812438,48876.52866869521,37890.39604942917,75159.05805018978,68689.91450733264,6469.143542857144,3001.899159635077,7036.861668644961,51,12,4553.944515930301,1466.1499766780933,15220.02015813986,12536.659211675404,10800.0,10568.396796019872,1200.0,10800.0,1.0362228000012692,2.273736754432321e-13,0,1.5,1.5
2025-08-21,greedy,error_scaled_frozen_contract_and_soc,49523.982413621445,49505.864973275005,18.117440346430072,75828.45649821547,69065.9324625012,6762.524035714287,3174.501260490474,2.687778571428794,2,2,4863.501055599652,1437.8682557907136,17744.41212990665,14372.973825224391,10800.0,10800.0,1611.3207037433883,10800.0,0.0004172000044491,2.273736754432321e-13,0,1.5,1.4999999999999998
2025-08-21,mpc,error_scaled_frozen_contract_and_soc,64843.4697952054,49505.864973275005,15337.6048219304,75828.45649821547,69065.9324625012,6762.524035714287,3174.501260490474,2692.4319445690444,30,16,5556.022011622025,3904.293532142856,15987.431373722611,13085.195135417252,10800.0,10649.582530331185,1200.0,10800.0,1.0654454000032274,1.1368683772161605e-13,0,1.5,1.4999999999999998
2025-08-22,greedy,error_scaled_frozen_contract_and_soc,30546.332540819767,28403.09661765405,2143.2359231657165,47117.07462685007,40388.45541494531,6728.619211904762,3229.108584894125,307.2299201785718,1,1,3855.088495061728,17475.39802256623,20869.99070022918,16934.707080352306,10800.0,10766.650429814814,1200.0,10800.0,0.0010764000035123,1.1368683772161605e-13,0,1.5,1.5
2025-08-22,mpc,error_scaled_frozen_contract_and_soc,44005.59896586565,28403.09661765405,15602.502348211605,47117.07462685007,40388.45541494531,6728.619211904762,3229.108584894125,3070.488403545781,37,13,4911.205981538682,19912.85519271387,17913.171522176017,14708.204075556529,10800.0,10579.405397117833,1314.4147526455035,10800.0,0.9417724000086308,2.273736754432321e-13,0,1.5,1.5
2025-08-23,greedy,error_scaled_frozen_contract_and_soc,28716.863460037686,28716.863460037686,0.0,47431.83370451577,40584.09430689672,6847.739397619047,3203.658337546626,0.0,0,0,4183.063583333336,15726.086281912469,19859.172268087525,16085.929537150898,10800.0,10800.0,1939.862174365083,10800.0,0.0003704999980982,2.273736754432321e-13,0,1.5,1.5000000000000002
2025-08-23,mpc,error_scaled_frozen_contract_and_soc,34543.10466784683,28716.863460037686,5826.24120780914,47431.83370451577,40584.09430689672,6847.739397619047,3203.658337546626,1211.5186231970818,26,16,5177.164587040765,16196.278927117542,19051.63364119883,15531.165935977626,10800.0,10689.619237103809,1223.8560277777776,10800.0,1.0206704000011086,1.1368683772161605e-13,0,1.5,1.5000000000000002
2025-08-24,greedy,error_scaled_frozen_contract_and_soc,50088.54961114233,50021.54407114233,67.00553999999808,76914.22550328927,69918.34768662261,6995.877816666667,3125.440446739204,9.939999999999714,1,1,5066.556591489696,5652.593498795433,19356.76812608699,15678.982182130463,10800.0,10800.0,1693.3150227513229,10800.0,0.000639100006083,2.273736754432321e-13,0,1.5,1.5
