date,method,comparison,cash_cost_yuan,contract_cost_yuan,emergency_cost_yuan,contract_kwh,base_contract_kwh,risk_reserve_kwh,expected_emergency_cost_yuan,emergency_kwh,emergency_slots,emergency_events,unused_contract_kwh,pv_curtailed_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,runtime_seconds,max_balance_residual_kwh,simultaneous_flow_slots
2025-02-01,greedy,frozen_paired_same_contract_soc_information,26709.12435609976,26709.12435609976,0.0,49023.022603149024,43233.888007593465,5789.134595555555,6312.826350179821,0.0,0,0,7094.942984184794,4222.3180999999995,17513.608345425804,14186.022759794905,10800.0,10800.0,2360.6261485890623,10800.0,0.00029499999072868377,1.1368683772161603e-13,0
2025-02-01,mpc,frozen_paired_same_contract_soc_information,27899.51832504976,26709.12435609976,1190.3939689500016,49023.022603149024,43233.888007593465,5789.134595555555,6312.826350179821,202.84544523809564,10,6,7288.811021362491,3985.5609216406315,18806.950831845574,15233.630659794904,10800.0,10799.999460000012,1951.9991785833988,10800.0,1.129555999999866,1.1368683772161603e-13,0
2025-02-02,greedy,frozen_paired_same_contract_soc_information,60814.31655276092,60814.31655276092,0.0,95447.25993643588,89758.78041945177,5688.479516984126,6331.734526354028,0.0,0,0,13075.51518330296,143.10248333333334,20380.86484105052,16508.50052125092,10800.0,10800.0,1890.3158152557307,10800.0,0.000614399992628023,1.1368683772161603e-13,0
2025-02-02,mpc,frozen_paired_same_contract_soc_information,61176.0911011014,60814.31655276092,361.7745483404753,95447.25993643588,89758.78041945177,5688.479516984126,6331.734526354028,81.23041904761888,4,3,12198.041882374071,663.7723928571439,22686.30901816988,18375.910887917587,10800.0,10799.999352000017,1507.3586305714334,10800.0,0.9891981999971904,1.1368683772161603e-13,0
2025-02-03,greedy,frozen_paired_same_contract_soc_information,59761.37374098951,59761.37374098951,0.0,94059.09257643559,88351.30972611814,5707.78285031746,6325.6355685206945,0.0,0,0,9863.660882803251,0.0,20939.5536506966,16961.03845706425,10800.0,10800.0,1813.4774210758408,10800.0,0.00024739999207668006,1.1368683772161603e-13,0
2025-02-03,mpc,frozen_paired_same_contract_soc_information,60415.31347814428,59761.37374098951,653.939737154762,94059.09257643559,88351.30972611814,5707.78285031746,6325.6355685206945,130.02006666666662,10,6,9140.442897277066,529.3509500000007,22644.225679079926,18341.823383254727,10800.0,10799.999352000017,1444.5024770340697,10800.0,1.1965264000027673,2.2737367544323206e-13,0
2025-02-04,greedy,frozen_paired_same_contract_soc_information,60256.86003817031,60256.86003817031,0.0,94763.34714999805,89031.03173301392,5732.3154169841255,6307.104330743882,0.0,0,0,9431.44246381442,0.3517833333332874,21772.047120264757,17635.358167414455,10800.0,10800.0,2044.759881393298,10800.0,0.0007801999890943989,1.1368683772161603e-13,0
2025-02-04,mpc,frozen_paired_same_contract_soc_information,61938.42527047864,60256.86003817031,1681.565232308336,94763.34714999805,89031.03173301392,5732.3154169841255,6307.104330743882,336.4601833333338,18,8,9697.791847838173,82.89184999999998,22230.907855288624,18106.648169795408,10800.0,10689.319103320418,1310.8761691143031,10800.0,1.2282210999983363,2.2737367544323206e-13,0
2025-02-05,greedy,frozen_paired_same_contract_soc_information,58582.167117194185,58582.167117194185,0.0,92567.5088404276,87805.56615709428,4761.942683333333,4566.75086750565,0.0,0,0,7568.893662757196,2.052500000000009,22358.608917563593,18110.47322322651,10800.0,10800.0,1657.9330782804213,10800.0,0.0008821999945212156,2.2737367544323206e-13,0
2025-02-05,mpc,frozen_paired_same_contract_soc_information,60911.931229671565,58582.167117194185,2329.76411247738,92567.5088404276,87805.56615709428,4761.942683333333,4566.75086750565,447.96309285714267,25,11,7802.271570305633,173.362466666667,22613.32343144373,18321.912518464604,10800.0,10794.310512227567,1541.3565484285743,10800.0,1.1764487999898847,2.2737367544323206e-13,0
2025-02-06,greedy,frozen_paired_same_contract_soc_information,58974.03607680656,58974.03607680656,0.0,92802.98276806748,88839.82339822622,3963.1593698412707,3251.412147611388,0.0,0,0,8424.991930893599,1.400816666666742,21608.06738863454,17502.534584793975,10800.0,10800.0,1876.9137222222241,10800.0,0.00025969999842345715,1.1368683772161603e-13,0
2025-02-06,mpc,frozen_paired_same_contract_soc_information,59904.15599730656,58974.03607680656,930.1199205000024,92802.98276806748,88839.82339822622,3963.1593698412707,3251.412147611388,187.60236428571474,12,7,7679.707087666061,669.2052880952396,23003.242753290644,18632.627213365406,10800.0,10799.999352000017,1611.5820484285725,10800.0,1.2277146999986144,2.2737367544323206e-13,0
2025-02-07,greedy,frozen_paired_same_contract_soc_information,24137.83848105902,24137.83848105902,0.0,45454.33012959417,42149.74573197513,3304.5843976190476,1942.5968872038493,0.0,0,0,4980.629476214275,5080.818692656978,18880.012073980295,15292.809779924039,10800.0,10800.0,1606.5266402116401,10800.0,0.0008465999999316409,1.1368683772161603e-13,0
2025-02-07,mpc,frozen_paired_same_contract_soc_information,26177.976926730447,24137.83848105902,2040.1384456714272,45454.33012959417,42149.74573197513,3304.5843976190476,1942.5968872038493,345.4293047619045,16,6,5852.113288359767,4439.42524163434,19487.062215238395,15784.520977543089,10800.0,10799.999352000017,1684.8234831198245,10800.0,1.013586299988674,1.1368683772161603e-13,0
2025-02-08,greedy,frozen_paired_same_contract_soc_information,22024.09795129196,22024.09795129196,0.0,41292.83964174117,38070.79812507451,3222.041516666666,1927.9955428724606,0.0,0,0,2612.1119787516,3366.9516999999996,19666.38550696268,15929.772260639775,10800.0,10800.0,1624.5250158730155,10800.0,0.0002666999935172498,1.1368683772161603e-13,0
2025-02-08,mpc,frozen_paired_same_contract_soc_information,24578.05074034196,22024.09795129196,2553.9527890500003,41292.83964174117,38070.79812507451,3222.041516666666,1927.9955428724606,465.3772428571429,24,10,2820.585959275158,3637.552452337721,19785.583259815692,16062.667503496918,10800.0,10759.616596615322,1200.0,10800.0,1.1069485999905737,1.1368683772161603e-13,0
