date,method,comparison,cash_cost_yuan,contract_cost_yuan,emergency_cost_yuan,contract_kwh,base_contract_kwh,risk_reserve_kwh,expected_emergency_cost_yuan,emergency_kwh,emergency_slots,emergency_events,unused_contract_kwh,pv_curtailed_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,runtime_seconds,max_balance_residual_kwh,simultaneous_flow_slots
2025-02-01,mpc,continuous_closed_loop,27899.518592385757,26709.124623435753,1190.3939689500016,49023.02332314897,43233.88872759342,5789.134595555555,6312.826350179821,202.84544523809564,10,6,7288.811021362488,3985.5609216406347,18806.95155184538,15233.630659794766,10799.999352000017,10799.999460000012,1951.9991785833952,10800.0,1.8258649999916088,1.1368683772161603e-13,0
2025-02-02,mpc,continuous_closed_loop,61176.091323881396,60814.31677554093,361.7745483404753,95447.26053643301,89758.78101944887,5688.479516984126,6331.734526354028,81.23041904761888,4,3,12198.04188237407,663.7723928571439,22686.309618154784,18375.910887905367,10799.999460000012,10799.999352000017,1507.3586305714334,10799.999460000012,1.0958651999972062,1.1368683772161603e-13,0
2025-02-03,mpc,continuous_closed_loop,60415.31374548027,59761.37400832551,653.939737154762,94059.09329643169,88351.31044611422,5707.78285031746,6325.6355685206945,130.02006666666662,10,6,9140.442897277066,529.3509500000007,22644.226399059393,18341.82338323811,10799.999352000017,10799.999352000017,1444.5024770340697,10799.999939465326,0.916827099994407,2.2737367544323206e-13,0
2025-02-04,mpc,continuous_closed_loop,61938.42553781465,60256.86030550631,1681.5652323083355,94763.34786999408,89031.03245300995,5732.3154169841255,6307.104330743882,336.4601833333337,18,8,9697.791847838174,82.89184999999998,22230.908575267786,18106.64816977855,10799.999352000017,10689.319103320418,1310.8761691143031,10799.999352000017,1.0751315999950748,2.2737367544323206e-13,0
2025-02-05,mpc,continuous_closed_loop,60957.59324894722,58627.82913646984,2329.76411247738,92690.48733099326,87928.5446476599,4761.942683333333,4566.75086750565,447.96309285714267,25,11,7802.271570305635,173.362466666667,22736.300713306933,18321.91130976218,10689.319103320418,10794.310512227567,1541.3565484285743,10794.310512227567,0.9415133000002243,2.2737367544323206e-13,0
2025-02-06,mpc,continuous_closed_loop,59906.5032271188,58976.383306618794,930.1199205000019,92809.30440657708,88846.1450367358,3963.1593698412707,3251.412147611388,187.60236428571463,12,7,7679.70708766606,669.2052880952396,23009.564329682264,18632.627151247427,10794.310512227567,10799.999352000017,1611.5820484285725,10799.999352000017,1.0329035000031581,2.2737367544323206e-13,0
2025-02-07,mpc,continuous_closed_loop,26177.977194066443,24137.838748395017,2040.1384456714272,45454.33084959413,42149.74645197508,3304.5843976190476,1942.5968872038493,345.4293047619045,16,6,5852.113344247141,4439.425185746965,19487.06293523823,15784.520977542972,10799.999352000017,10799.999352000017,1684.8234831198245,10799.999949701363,0.9426780999929179,2.2737367544323206e-13,0
2025-02-08,mpc,continuous_closed_loop,24578.05099700827,22024.098207958268,2553.9527890500003,41292.840224941145,38070.79870827449,3222.041516666666,1927.9955428724606,465.3772428571429,24,10,2820.5852659688544,3637.5531456440126,19785.583259815703,16062.66692029694,10799.999352000017,10759.616596615322,1200.0,10799.99997597569,1.0273374999960652,1.1368683772161603e-13,0
2025-02-09,mpc,continuous_closed_loop,58301.09547292911,54676.866813643406,3624.228659285711,87034.246466014,83804.7722398235,3229.4742261904767,1884.7776228023413,775.5319428571424,31,13,3606.0297020310254,226.93328333333312,23168.277729879614,18746.878273039503,10759.616596615322,10781.201805685301,1258.2416574038975,10790.403074565504,0.9679599999944912,2.2737367544323206e-13,0
2025-02-10,mpc,continuous_closed_loop,56492.92111275237,55472.05048701547,1020.8706257369054,88102.57532349316,84883.6062615884,3218.969061904762,1904.2355526711904,207.10610476190487,15,9,7679.233612449103,1948.9886904761895,23125.319631863844,18770.4980898674,10781.201805685301,10737.880485621205,1504.8683763123686,10795.777654971016,0.9831295000039972,2.2737367544323206e-13,0
2025-02-11,mpc,continuous_closed_loop,55987.62340458241,54059.88368026931,1927.7397243130956,86275.03537500308,83132.53822738404,3142.4971476190467,1917.0786876211912,318.4455952380954,20,8,6320.522460642222,658.8641981422306,22845.412562219433,18451.915384096046,10737.880485621205,10796.623587067532,1513.2052940917893,10799.926511980899,1.0683925000048475,2.2737367544323206e-13,0
2025-02-12,mpc,continuous_closed_loop,55670.929060546216,53693.076684758125,1977.8523757880969,85688.64201060514,82624.82622012895,3063.8157904761892,1921.1290865783344,384.80667380952383,20,11,5709.589677217935,810.6629499999991,22653.62916320422,18367.169239340823,10796.623587067532,10776.924012461526,1360.6887888781007,10799.999942040025,1.147163100002217,2.2737367544323206e-13,0
2025-02-13,mpc,continuous_closed_loop,55318.63981079176,53414.80810107509,1903.8317097166669,85175.04166117977,82147.84547308453,3027.1961880952376,1902.33345955,376.51770238095213,22,15,7425.272893387276,2539.898740398712,22295.478460649643,18038.569747541573,10776.924012461526,10799.999352000017,1544.518748107235,10799.999352000017,1.0066413000022294,2.2737367544323206e-13,0
2025-02-14,mpc,continuous_closed_loop,23622.193711064116,21094.673473109455,2527.5202379546663,39440.31789477453,36480.13222572691,2960.185669047619,1904.574072742143,581.8333457161741,31,11,2368.3608835207115,4031.174414722641,20171.672073185215,16350.857947604529,10799.999352000017,10786.884276083907,1213.9359259259272,10799.99997595911,1.2640555999969365,1.1368683772161603e-13,0
