variant,date,period,charge_kwh,discharge_kwh,soc_0_kwh,soc_24_kwh
q4_3,2025-09-23,8:00-12:00,6087.667614719463,1896.6157166666662,10800.0,10800.0
q4_3,2025-09-23,12:00-16:00,4692.532449245537,451.0890666666663,10800.0,10800.0
q4_3,2025-09-23,16:00-20:00,204.37711474622833,6133.506280521176,10800.0,10800.0
q4_3,2025-09-23,20:00-24:00,10575.792326226416,2550.966816666667,10800.0,10800.0
q4_3,2025-12-21,0:00-4:00,41.933415637859866,74.83366666666666,10800.0,10800.0
q4_3,2025-12-21,4:00-8:00,50.453827160494114,833.3333333333333,10800.0,10800.0
q4_3,2025-12-21,8:00-12:00,5470.757661111111,7182.668594444444,10800.0,10800.0
q4_3,2025-12-21,12:00-16:00,7313.933960077449,2339.5982853849537,10800.0,10800.0
q4_3,2025-12-21,16:00-20:00,0.0,5583.078983333333,10800.0,10800.0
q4_3,2025-12-21,20:00-24:00,10401.981172839503,2842.5257666666666,10800.0,10800.0
